City,Town,Neighborhood,House Type,House Age,House Size,Room Count,Floor,Furniture,Bathroom Count,Hand,Heater Type,Heater Fuel,Price
İstanbul,Beyoğlu,Cihangir,Daire,30,120.0,2 + 1,3. Kat,True,1.0,İkinci El,Kombi,Doğalgaz,45000
İstanbul,Beşiktaş,Levazım,Residence,5,169.0,1 + 1,7. Kat,False,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,240000
İstanbul,Avcılar,Cihangir,Daire,26,98.0,2 + 1,3. Kat,False,1.0,,Kombi,Doğalgaz,12000
Ankara,Çankaya,Yıldızevler,Daire,24,130.0,3 + 1,1. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,25000
Isparta,Merkez,Çünür,Daire,1,50.0,1 + 1,4. Kat,True,1.0,Sıfır,Kombi,Doğalgaz,9750
Ankara,Çankaya,Mürsel Uluç,Daire,10,135.0,3 + 1,2. Kat,True,1.0,İkinci El,Kombi,Doğalgaz,23000
İstanbul,Küçükçekmece,Atakent,Daire,11,67.0,1 + 1,7. Kat,True,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,24000
Aksaray,Merkez,Şeyh Hamit,Daire,10,180.0,3 + 1,Ara Kat,False,1.0,İkinci El,Kombi,Doğalgaz,10000
Ankara,Çankaya,Çukurambar,Residence,0,76.0,1 + 1,5. Kat,True,1.0,Sıfır,Merkezi (Pay Ölçer),Elektrik,45000
Ankara,Çankaya,Gaziosmanpaşa,Daire,55,135.0,3 + 1,3. Kat,False,1.0,İkinci El,Merkezi,Doğalgaz,27500
Balıkesir,Erdek,Çeltikçi,Villa,15,340.0,5 + 2,Müstakil,True,4.0,,Klima,Elektrik,130000
İstanbul,Beşiktaş,Levazım,Residence,10,200.0,2 + 1,14. Kat,False,2.0,İkinci El,VRV,Doğalgaz,195000
İstanbul,Beşiktaş,Levazım,Residence,10,169.0,2 + 1,10. Kat,True,2.0,İkinci El,VRV,Doğalgaz,285000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,346.0,5 + 1,21 ve üzeri,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,320000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,349.0,4 + 1,18. Kat,False,5.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,300000
İstanbul,Beşiktaş,Levazım,Residence,0,570.0,7 + 1,16. Kat,False,5.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,540000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,346.0,5 + 1,21 ve üzeri,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,300000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,350.0,5 + 1,21 ve üzeri,False,5.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,465000
İstanbul,Şişli,Harbiye,Residence,15,121.0,1 + 1,21 ve üzeri,True,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,96000
İstanbul,Beşiktaş,Levazım,Residence,1,221.0,3 + 1,8. Kat,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,255000
Ankara,Keçiören,Tepebaşı,Daire,35,120.0,3 + 1,1. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,13500
İstanbul,Beşiktaş,Kültür,Residence,0,355.0,5 + 1,21 ve üzeri,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,335000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,600.0,6 + 1,21 ve üzeri,False,5.0,Sıfır,Merkezi,Doğalgaz,650000
İstanbul,Beşiktaş,Nisbetiye,Residence,1,578.0,8 + 1,21 ve üzeri,False,6.0,Sıfır,Merkezi,Doğalgaz,650000
İstanbul,Beşiktaş,Levazım,Residence,10,179.0,2 + 1,15. Kat,False,2.0,İkinci El,VRV,Doğalgaz,240000
İstanbul,Beşiktaş,Levazım,Residence,5,200.0,2 + 1,2. Kat,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,200000
İstanbul,Beşiktaş,Levazım,Residence,10,190.0,2 + 1,13. Kat,False,2.0,İkinci El,VRV,Doğalgaz,220000
İstanbul,Beşiktaş,Nisbetiye,Residence,9,450.0,4 + 1,16. Kat,,4.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,320000
İstanbul,Beşiktaş,Vişnezade,Daire,5,145.0,1 + 1,Ara Kat,True,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,120000
İstanbul,Beşiktaş,Levazım,Residence,10,217.0,2 + 1,7. Kat,False,2.0,İkinci El,Merkezi,Doğalgaz,270000
İstanbul,Beşiktaş,Levazım,Residence,10,200.0,2 + 1,7. Kat,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,250000
İstanbul,Beşiktaş,Levazım,Residence,5,170.0,2 + 1,Yüksek Giriş,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,200000
İstanbul,Beşiktaş,Levazım,Daire,10,171.0,2 + 1,15. Kat,False,2.0,İkinci El,VRV,Doğalgaz,220000
İstanbul,Beşiktaş,Levazım,Residence,10,179.0,2 + 1,8. Kat,False,2.0,İkinci El,VRV,Doğalgaz,190000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,350.0,4 + 1,Ara Kat,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,320000
İstanbul,Kağıthane,Sultan Selim,Residence,14,400.0,5 + 1,21 ve üzeri,False,3.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,295000
İstanbul,Beşiktaş,Levazım,Residence,0,349.0,4 + 1,21 ve üzeri,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,285000
İstanbul,Beşiktaş,Gayrettepe,Residence,10,148.0,2 + 1,3. Kat,True,2.0,İkinci El,Merkezi,Doğalgaz,110000
İstanbul,Beykoz,Acarlar,Villa,10,950.0,6 + 2,Müstakil,False,6.0,İkinci El,Yerden Isıtma,Doğalgaz,540000
İstanbul,Beşiktaş,Levazım,Residence,10,450.0,4 + 1,Ara Kat,True,4.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,325000
İstanbul,Beşiktaş,Levazım,Residence,10,180.0,2 + 1,Yüksek Giriş,False,2.0,İkinci El,VRV,Doğalgaz,190000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,240.0,3 + 1,21 ve üzeri,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,192000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,221.0,3 + 1,21 ve üzeri,False,2.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,220000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,221.0,2 + 1,15. Kat,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,220000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,349.0,4 + 1,21 ve üzeri,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,240000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,1.22,10 + 2,21 ve üzeri,False,6.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,1250000
İstanbul,Beşiktaş,Levazım,Residence,0,325.0,5 + 1,17. Kat,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,260000
İstanbul,Sarıyer,Tarabya,Villa,6,1.2,8 + 2,Müstakil,False,6.0,İkinci El,Kombi,Doğalgaz,2650000
İstanbul,Sarıyer,Tarabya,Yalı Dairesi,40,500.0,5 + 1,3. Kat,False,2.0,İkinci El,Merkezi,Doğalgaz,550000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,355.0,5 + 1,21 ve üzeri,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,315000
İstanbul,Beşiktaş,Akat,Daire,31,180.0,3 + 1,5. Kat,,2.0,İkinci El,Merkezi,Doğalgaz,129000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,346.0,5 + 1,15. Kat,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,285000
İstanbul,Sarıyer,İstinye,Yalı Dairesi,40,200.0,3 + 1,Bahçe Katı,True,3.0,İkinci El,Kombi,Doğalgaz,185000
İstanbul,Şişli,Harbiye,Residence,15,165.0,2 + 1,18. Kat,True,3.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,210000
İstanbul,Beşiktaş,Levazım,Residence,10,190.0,2 + 1,7. Kat,False,2.0,İkinci El,VRV,Doğalgaz,190000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,221.0,3 + 1,19. Kat,False,2.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,220000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,360.0,4 + 1,21 ve üzeri,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,295000
İstanbul,Şişli,Esentepe,Residence,2,138.0,2 + 1,2. Kat,True,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,113000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,349.0,4 + 1,14. Kat,False,4.0,Sıfır,VRV,Doğalgaz,300000
İstanbul,Beşiktaş,Levazım,Residence,10,190.0,2 + 1,7. Kat,True,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,255000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,346.0,5 + 1,16. Kat,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,285000
İstanbul,Beşiktaş,Dikilitaş,Residence,11,240.0,4 + 1,21 ve üzeri,False,4.0,İkinci El,Merkezi,Doğalgaz,120000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,242.0,3 + 1,17. Kat,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,241000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,242.0,3 + 1,21 ve üzeri,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,185000
İstanbul,Beşiktaş,Nisbetiye,Daire,0,650.0,7 + 1,21 ve üzeri,False,6.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,650000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,242.0,3 + 1,21 ve üzeri,False,2.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,320000
İstanbul,Beşiktaş,Akat,Daire,30,240.0,4 + 1,8. Kat,True,3.0,İkinci El,Merkezi,Doğalgaz,225000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,384.0,5 + 1,21 ve üzeri,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,340000
Ankara,Çankaya,Çukurambar,Residence,0,85.0,1 + 1,3. Kat,,1.0,Sıfır,Fancoil Ünitesi,,35000
Ankara,Çankaya,Çukurambar,Residence,0,85.0,1 + 1,3. Kat,False,1.0,Sıfır,Fancoil Ünitesi,Doğalgaz,35000
Ankara,Çankaya,Yukarı Dikmen,Daire,10,60.0,1 + 1,3. Kat,True,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,20500
İstanbul,Şişli,Mecidiyeköy,Daire,20,90.0,2 + 1,Ara Kat,False,1.0,İkinci El,Kombi,Doğalgaz,17000
İstanbul,Zeytinburnu,Seyitnizam,Daire,8,78.0,1 + 1,Bahçe Katı,False,1.0,İkinci El,Kombi,Doğalgaz,9000
Muğla,Bodrum,Akyarlar,Yazlık,2,130.0,1 + 1,Bahçe Katı,True,1.0,,Merkezi (Pay Ölçer),Doğalgaz,150000
Ankara,Çankaya,Ata,Daire,25,105.0,3 + 1,Kot 1,False,1.0,İkinci El,Kombi,Doğalgaz,16000
Tekirdağ,Çorlu,Hürriyet,Daire,0,55.0,1 + 1,2. Kat,False,1.0,Sıfır,Kombi,Doğalgaz,16000
Tekirdağ,Süleymanpaşa,Ortacami,Daire,6,95.0,2 + 1,1. Kat,,1.0,İkinci El,Kombi,Doğalgaz,15000
İstanbul,Ümraniye,Armağanevler,Daire,18,90.0,2 + 1,4. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,14000
Ankara,Çankaya,Yaşamkent,Daire,0,55.0,1 + 1,1. Kat,True,1.0,Sıfır,Yerden Isıtma,Doğalgaz,25000
İstanbul,Ümraniye,Çakmak,Daire,18,115.0,2 + 1,Kot 2,False,1.0,İkinci El,Kombi,Doğalgaz,15000
İstanbul,Bahçelievler,Siyavuşpaşa,Daire,30,75.0,1 + 1,Yüksek Giriş,True,1.0,İkinci El,Kombi,Doğalgaz,13000
İstanbul,Avcılar,Gümüşpala,Daire,24,115.0,2 + 1,Ara Kat,False,1.0,İkinci El,Kombi,Doğalgaz,10000
İstanbul,Avcılar,Ambarlı,Daire,12,95.0,2 + 1,Giriş Katı,True,1.0,İkinci El,Kombi,Doğalgaz,12000
Edirne,Merkez,Şükrüpaşa,Daire,7,55.0,2 + 1,Zemin,True,1.0,İkinci El,Kombi,Doğalgaz,12000
İstanbul,Esenyurt,Gökevler,Daire,1,75.0,1 + 1,8. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,10500
Tokat,Merkez,Altıyüzevler,Daire,6,155.0,3 + 1,4. Kat,False,2.0,İkinci El,Kombi,Doğalgaz,18500
Adana,Çukurova,Belediye Evleri,Daire,15,200.0,3 + 2,3. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,180000
Ankara,Çankaya,Güvenevler,Daire,25,65.0,1 + 1,Giriş Katı,True,1.0,İkinci El,Merkezi,Doğalgaz,27000
İstanbul,Şişli,Meşrutiyet,Daire,40,110.0,2 + 1,5. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,35000
Ankara,Çankaya,Ayrancı,Daire,30,125.0,3 + 1,4. Kat,False,1.0,İkinci El,Merkezi,Doğalgaz,21000
İstanbul,Kadıköy,Caferağa,Daire,26,120.0,3 + 1,3. Kat,True,1.0,İkinci El,Merkezi,Doğalgaz,42000
İzmir,Karabağlar,Bahçelievler,Daire,2,60.0,1 + 1,Yüksek Giriş,False,1.0,İkinci El,Kombi,Doğalgaz,17000
İstanbul,Esenler,Birlik,Daire,2,70.0,2 + 1,6. Kat,True,1.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,199
İstanbul,Fatih,Seyyid Ömer,Daire,30,65.0,1 + 1,Yüksek Giriş,False,1.0,İkinci El,Kombi,Doğalgaz,13000
İstanbul,Fatih,Seyyid Ömer,Daire,39,145.0,4 + 1,4. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,20000
İstanbul,Sarıyer,Pınar,Daire,13,200.0,3 + 1,3. Kat,False,3.0,İkinci El,Kombi,Doğalgaz,160000
Ankara,Çankaya,100. Yıl,Daire,45,80.0,2 + 1,2. Kat,False,1.0,İkinci El,Merkezi,Doğalgaz,23000
Ankara,Çankaya,Kızılay,Daire,30,60.0,2 + 1,6. Kat,,1.0,,Merkezi,Doğalgaz,10000
İstanbul,Beşiktaş,Dikilitaş,Daire,27,65.0,1 + 1,Yüksek Giriş,False,1.0,İkinci El,Kombi,Doğalgaz,19000
İstanbul,Kartal,Hürriyet,Daire,5,110.0,2 + 1,3. Kat,True,1.0,İkinci El,Kombi,Doğalgaz,26500
Ankara,Altındağ,Hacettepe,Daire,5,35.0,1 + 1,Ara Kat,True,1.0,İkinci El,Kombi,Doğalgaz,9500
İstanbul,Beylikdüzü,Büyükşehir,Daire,10,200.0,3 + 1,7. Kat,True,2.0,İkinci El,Kombi,Doğalgaz,30000
Adana,Çukurova,Beyazevler,Daire,15,45.0,1 + 1,2. Kat,True,1.0,İkinci El,Klima,Elektrik,9500
İstanbul,Avcılar,Cihangir,Daire,25,185.0,4 + 1,En Üst Kat,,2.0,,Kombi,Doğalgaz,18000
Ankara,Yenimahalle,Ragıp Tüzün,Daire,17,170.0,3 + 1,Ara Kat,True,2.0,İkinci El,Kombi,Doğalgaz,22900
İstanbul,Beyoğlu,Kamer Hatun,Daire,50,150.0,3 + 1,3. Kat,True,1.0,İkinci El,Kombi,Doğalgaz,28000
Ankara,Etimesgut,Şeyh Şamil,Daire,27,60.0,1 + 1,3. Kat,True,1.0,İkinci El,Kombi,Doğalgaz,12500
Ankara,Etimesgut,Altay,Daire,1,150.0,4 + 1,Zemin,,2.0,,Merkezi (Pay Ölçer),Doğalgaz,28500
Ankara,Keçiören,Yayla,Daire,10,130.0,3 + 1,1. Kat,False,1.0,,Kombi,Doğalgaz,14500
Bursa,Osmangazi,Dikkaldırım,Daire,30,180.0,3 + 1,1. Kat,False,2.0,İkinci El,Kombi,Doğalgaz,20000
Ankara,Çankaya,Aşağı Öveçler,Daire,30,145.0,3 + 1,2. Kat,False,2.0,İkinci El,Kombi,Doğalgaz,28000
İstanbul,Beyoğlu,Sütlüce,Daire,2,80.0,2 + 1,Ara Kat,,1.0,,Kombi,Doğalgaz,10000
Kocaeli,Gölcük,Lütfiye,Villa,5,220.0,5 + 1,Bahçe Katı,True,3.0,,Kombi,Doğalgaz,26500
Aydın,Kuşadası,Türkmen,Daire,16,130.0,3 + 1,Kot 1,True,2.0,İkinci El,Klima,Doğalgaz,21000
İstanbul,Kağıthane,Ortabayır,Daire,25,90.0,2 + 1,Kot 1,False,1.0,İkinci El,Kombi,Doğalgaz,12000
Erzincan,Merkez,Yenimahalle,Daire,0,55.0,1 + 1,Yüksek Giriş,False,1.0,Sıfır,Kombi,Doğalgaz,9000
Ankara,Çankaya,Naci Çakır,Daire,25,120.0,2 + 1,1. Kat,False,1.0,Sıfır,Merkezi,Doğalgaz,25000
Ankara,Çankaya,İlkadım,Daire,11,125.0,3 + 1,3. Kat,True,1.0,İkinci El,Kombi,Doğalgaz,25750
İstanbul,Sarıyer,Zekeriyaköy,Villa,25,850.0,7 + 2,Müstakil,False,4.0,İkinci El,Yerden Isıtma,Doğalgaz,275000
Antalya,Konyaaltı,Hurma,Daire,11,90.0,2 + 1,1. Kat,True,1.0,,Klima,Elektrik,18000
Antalya,Konyaaltı,Hurma,Daire,7,110.0,2 + 1,4. Kat,False,2.0,İkinci El,Isıtma Yok,Elektrik,18000
Antalya,Finike,Sahilkent,Daire,26,150.0,2 + 1,9. Kat,True,1.0,,Klima,Elektrik,14500
İstanbul,Üsküdar,Zeynep Kamil,Daire,36,121.0,3 + 1,En Üst Kat,False,1.0,,Kombi,Doğalgaz,26000
İstanbul,Beyoğlu,Cihangir,Daire,45,135.0,2 + 1,5. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,40000
İstanbul,Ataşehir,Atatürk,Daire,21,95.0,1 + 1,8. Kat,False,1.0,İkinci El,Merkezi,Doğalgaz,30000
Ankara,Yenimahalle,Yeni Batı,Daire,4,142.0,2 + 1,En Üst Kat,True,3.0,İkinci El,Merkezi,Doğalgaz,30000
İstanbul,Beşiktaş,Levent,Residence,20,302.0,4 + 1,9. Kat,False,2.0,İkinci El,Merkezi,Doğalgaz,165000
İstanbul,Eyüpsultan,Göktürk Merkez,Daire,0,110.0,2 + 1,2. Kat,False,1.0,Sıfır,Kombi,Doğalgaz,37500
Burdur,Merkez,Fevzi Çakmak,Daire,11,155.0,3 + 1,2. Kat,False,1.0,,Kombi,Doğalgaz,10000
Ankara,Çankaya,Bahçelievler,Daire,30,150.0,3 + 1,Teras Katı,False,2.0,İkinci El,Merkezi,Doğalgaz,28500
İstanbul,Esenyurt,Piri Reis,Daire,3,130.0,2 + 1,4. Kat,True,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,18000
Çanakkale,Ayvacık,Koyunevi,Daire,15,150.0,2 + 1,Yüksek Giriş,True,2.0,,Güneş Enerjisi,Elektrik,6000
Yalova,Merkez,İsmet Paşa,Daire,35,75.0,1 + 1,Giriş Katı,True,2.0,İkinci El,Klima,Elektrik,25000
Edirne,Keşan,Mustafa Kemal Paşa,Daire,9,115.0,4 + 1,Yüksek Giriş,True,1.0,İkinci El,Kat Kaloriferi,Doğalgaz,15000
İstanbul,Avcılar,Denizköşkler,Daire,25,138.0,3 + 1,4. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,18000
İstanbul,Beşiktaş,Arnavutköy,Köşk,100,360.0,5 + 1,Müstakil,False,3.0,İkinci El,Kombi,Doğalgaz,245000
İstanbul,Küçükçekmece,Cumhuriyet,Daire,10,130.0,3 + 1,Bahçe Katı,False,1.0,,Kombi,Doğalgaz,13000
Ankara,Yenimahalle,Turgut Özal,Daire,4,220.0,4 + 1,1. Kat,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,35000
İstanbul,Kağıthane,Ortabayır,Daire,25,90.0,2 + 1,Yüksek Giriş,False,1.0,İkinci El,Kombi,Doğalgaz,17000
İstanbul,Ataşehir,Küçükbakkalköy,Daire,10,62.0,1 + 1,2. Kat,,1.0,,Merkezi,Doğalgaz,27000
Ankara,Çankaya,Naci Çakır,Daire,30,130.0,2 + 1,Kot 3,False,1.0,İkinci El,Kombi,Doğalgaz,13000
Zonguldak,Kozlu,Fatih,Daire,7,150.0,3 + 1,5. Kat,False,1.0,İkinci El,Merkezi,Doğalgaz,15000
Ankara,Mamak,Şafaktepe,Daire,1,90.0,2 + 1,1. Kat,False,2.0,Sıfır,Kombi,Doğalgaz,22000
Ankara,Yenimahalle,Yeni Batı,Daire,8,110.0,2 + 1,Yüksek Giriş,False,1.0,İkinci El,Kombi,Doğalgaz,22000
İstanbul,Beyoğlu,Kuloğlu,Daire,75,85.0,2 + 1,1. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,30000
İstanbul,Beylikdüzü,Marmara,Daire,0,130.0,3 + 1,Zemin,True,2.0,Sıfır,Merkezi,Doğalgaz,33000
Ankara,Altındağ,Aydınlıkevler,Daire,0,110.0,3 + 1,2. Kat,False,2.0,Sıfır,Merkezi,Doğalgaz,28000
İstanbul,Ataşehir,Küçükbakkalköy,Residence,5,85.0,1 + 1,7. Kat,False,1.0,,Merkezi (Pay Ölçer),Doğalgaz,31500
İstanbul,Ataşehir,Küçükbakkalköy,Residence,5,95.0,1 + 1,10. Kat,True,1.0,,Merkezi (Pay Ölçer),Doğalgaz,29500
İstanbul,Şişli,Mecidiyeköy,Daire,16,100.0,2 + 1,3. Kat,False,1.0,,Kombi,Doğalgaz,30000
Ankara,Çankaya,Cevizlidere,Daire,19,175.0,4 + 1,4. Kat,False,2.0,İkinci El,Kombi,Doğalgaz,30000
İstanbul,Beşiktaş,Vişnezade,Daire,50,90.0,2 + 1,2. Kat,False,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,44000
İstanbul,Beşiktaş,Levazım,Daire,43,110.0,3 + 1,3. Kat,False,1.0,İkinci El,Merkezi,Doğalgaz,37500
İstanbul,Fatih,Şehremini,Daire,35,110.0,3 + 1,1. Kat,False,2.0,İkinci El,Kombi,Doğalgaz,16000
İstanbul,Beyoğlu,Tomtom,Daire,8,75.0,1 + 1,2. Kat,False,1.0,İkinci El,Merkezi,Doğalgaz,45000
İstanbul,Avcılar,Cihangir,Daire,28,115.0,2 + 1,1. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,11500
İstanbul,Avcılar,Ambarlı,Daire,25,325.0,5 + 2,3. Kat,False,3.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,50000
İstanbul,Avcılar,Cihangir,Daire,8,90.0,2 + 1,3. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,16500
İstanbul,Avcılar,Cihangir,Daire,8,135.0,2 + 1,1. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,20000
İstanbul,Şişli,Eskişehir,Daire,20,150.0,3 + 1,3. Kat,False,2.0,,Kombi,Doğalgaz,25000
Ankara,Etimesgut,Elvan,Daire,10,105.0,2 + 1,Bahçe Katı,True,1.0,İkinci El,Kombi,Doğalgaz,16500
İstanbul,Ümraniye,Çakmak,Daire,18,90.0,2 + 1,Yüksek Giriş,False,1.0,İkinci El,Kombi,Doğalgaz,15000
Ankara,Çankaya,Dumlupınar,Daire,20,180.0,4 + 1,1. Kat,False,2.0,İkinci El,Merkezi,Doğalgaz,27500
İstanbul,Ataşehir,Barbaros,Daire,17,165.0,3 + 1,5. Kat,False,3.0,İkinci El,Kombi,Doğalgaz,65000
Muğla,Fethiye,Eldirek,Daire,11,110.0,2 + 1,Yüksek Giriş,False,1.0,,Klima,Elektrik,8000
Antalya,Konyaaltı,Molla Yusuf,Villa,0,350.0,5 + 1,Müstakil,True,3.0,Sıfır,Klima,Elektrik,75000
Ankara,Çankaya,İlkbahar,Residence,2,165.0,3 + 1,2. Kat,True,2.0,,Merkezi (Pay Ölçer),Doğalgaz,55000
